Date,Close/Last,Volume,Open,High,Low
11/20/2023,$53.22,4948678,$52.80,$53.42,$52.51
11/17/2023,$52.91,7215723,$53.43,$53.49,$52.74
11/16/2023,$53.09,7522916,$52.66,$53.275,$52.41
11/15/2023,$52.47,5937811,$52.21,$52.815,$52.18
11/14/2023,$52.14,7029220,$51.00,$52.77,$50.89
11/13/2023,$49.90,6125070,$49.95,$50.00,$49.52
11/10/2023,$50.06,5191101,$50.41,$50.53,$49.85
11/09/2023,$50.17,5464344,$51.30,$51.375,$49.85
11/08/2023,$51.20,5455147,$50.73,$51.36,$50.727
11/07/2023,$50.70,5787020,$50.85,$50.99,$50.035
11/06/2023,$50.46,7734828,$50.76,$50.83,$50.251
11/03/2023,$50.85,6433080,$50.87,$51.37,$50.79
11/02/2023,$50.03,9626534,$48.89,$50.20,$48.675
11/01/2023,$47.99,8149281,$47.66,$48.14,$47.22
10/31/2023,$47.38,18220470,$46.35,$47.52,$45.93
10/30/2023,$46.22,36132680,$47.50,$48.21,$45.035
10/27/2023,$49.00,4107856,$49.79,$49.87,$48.81
10/26/2023,$49.79,4299184,$49.43,$50.22,$49.43
10/25/2023,$49.28,3336335,$49.42,$49.62,$49.07
10/24/2023,$49.60,4002432,$49.19,$49.70,$49.14
10/23/2023,$49.01,4859131,$49.00,$49.58,$48.61
10/20/2023,$49.35,4965910,$49.42,$49.815,$49.34
10/19/2023,$49.42,4883204,$49.74,$50.38,$49.35
10/18/2023,$49.91,3930813,$50.60,$50.80,$49.88
10/17/2023,$50.97,6089872,$50.59,$51.29,$50.40
10/16/2023,$50.74,4545474,$50.60,$51.015,$49.942
10/13/2023,$50.59,3231995,$50.55,$50.75,$50.20
10/12/2023,$50.28,4110385,$50.81,$50.94,$50.06
10/11/2023,$50.95,4027264,$50.66,$51.2072,$50.5415
10/10/2023,$50.20,6226324,$50.19,$50.42,$49.178
10/09/2023,$50.55,3747264,$49.91,$50.85,$49.90
10/06/2023,$50.11,4249247,$49.805,$50.5399,$49.375
10/05/2023,$50.06,5067184,$49.53,$50.1491,$49.30
10/04/2023,$49.57,5468686,$49.12,$49.59,$48.665
10/03/2023,$48.89,6352389,$48.81,$49.09,$48.415
10/02/2023,$48.99,6159050,$49.82,$49.98,$48.76
09/29/2023,$49.94,5298544,$49.98,$50.53,$49.625
09/28/2023,$49.62,5850056,$49.79,$50.0767,$49.58
09/27/2023,$49.66,5416527,$50.58,$50.94,$49.38
09/26/2023,$50.26,5231355,$51.00,$51.195,$49.95
09/25/2023,$51.19,5307183,$51.50,$51.52,$50.85
09/22/2023,$51.56,6982154,$52.07,$52.40,$51.515
09/21/2023,$52.06,8679561,$53.43,$53.55,$52.04
09/20/2023,$53.80,3738345,$54.25,$54.6075,$53.7307
09/19/2023,$54.00,4395544,$53.70,$54.25,$53.68
09/18/2023,$53.73,5925296,$54.36,$54.39,$53.65
09/15/2023,$54.10,18363010,$54.95,$54.99,$53.98
09/14/2023,$55.12,5902130,$55.27,$55.43,$55.05
09/13/2023,$55.06,4928366,$55.42,$55.54,$55.00
09/12/2023,$55.15,3704514,$55.15,$55.345,$54.915
09/11/2023,$55.17,3698628,$55.48,$55.53,$55.045
09/08/2023,$55.32,4244818,$55.35,$55.74,$55.21
09/07/2023,$55.08,5821337,$54.98,$55.44,$54.97
09/06/2023,$54.99,4915139,$55.43,$55.48,$54.76
09/05/2023,$55.25,5264600,$56.17,$56.18,$55.23
09/01/2023,$56.20,3864148,$56.30,$56.59,$56.01
08/31/2023,$56.04,6971225,$56.32,$56.36,$55.99
08/30/2023,$56.56,9020893,$56.35,$56.60,$56.065
08/29/2023,$56.47,4698828,$56.50,$56.51,$56.045
08/28/2023,$56.47,8568871,$56.20,$56.65,$55.92
08/25/2023,$56.00,8429041,$56.40,$56.455,$55.81
08/24/2023,$56.36,5722358,$57.14,$57.55,$56.36
08/23/2023,$57.11,5834864,$56.54,$57.2219,$56.50
08/22/2023,$56.32,3451102,$56.485,$56.62,$56.15
08/21/2023,$56.23,4748853,$56.82,$56.91,$55.96
08/18/2023,$56.90,4842064,$56.56,$57.22,$56.53
08/17/2023,$56.88,5229520,$57.01,$57.615,$56.85
08/16/2023,$56.87,5102014,$57.49,$57.60,$56.82
08/15/2023,$57.43,6157706,$57.72,$57.72,$56.84
08/14/2023,$57.94,6150105,$58.47,$58.62,$57.8202
08/11/2023,$58.62,5070276,$58.65,$58.78,$58.33
08/10/2023,$58.79,6938463,$59.55,$59.61,$58.55
08/09/2023,$59.51,3896102,$58.88,$59.805,$58.66
08/08/2023,$59.00,4465570,$59.71,$59.82,$58.88
08/07/2023,$60.11,4059434,$59.32,$60.19,$59.23
08/04/2023,$59.22,4508138,$59.23,$60.25,$59.01
08/03/2023,$58.84,6627155,$60.09,$60.15,$58.625
08/02/2023,$60.37,3557418,$60.50,$60.69,$60.16
08/01/2023,$60.78,3208296,$61.01,$61.295,$60.6058
07/31/2023,$60.97,9895165,$61.37,$61.53,$60.59
07/28/2023,$61.47,5078957,$62.44,$62.71,$61.13
07/27/2023,$62.19,4957923,$64.00,$64.18,$62.14
07/26/2023,$63.75,3440253,$63.085,$63.84,$63.085
07/25/2023,$63.09,3284621,$63.24,$63.555,$63.05
07/24/2023,$63.37,4913417,$62.88,$63.45,$62.76
07/21/2023,$62.75,3116813,$62.69,$63.155,$62.53
07/20/2023,$62.62,3250642,$62.00,$62.64,$61.47
07/19/2023,$61.73,4362525,$61.24,$62.13,$61.24
07/18/2023,$60.99,4083435,$61.41,$61.45,$60.76
07/17/2023,$61.29,3230153,$60.69,$61.345,$60.50
07/14/2023,$60.82,4981707,$60.82,$60.88,$60.48
07/13/2023,$60.95,4705186,$60.40,$60.99,$60.12
07/12/2023,$60.31,4271020,$60.80,$61.16,$60.2925
07/11/2023,$60.50,5435665,$59.54,$60.53,$59.245
07/10/2023,$59.32,4837268,$59.48,$59.66,$59.175
07/07/2023,$59.57,4710140,$59.57,$59.96,$59.34
07/06/2023,$59.90,4105608,$59.78,$59.94,$59.19
07/05/2023,$60.63,4649307,$59.99,$60.875,$59.802
07/03/2023,$60.20,2347661,$59.75,$60.565,$59.56
06/30/2023,$59.79,7161490,$60.30,$60.49,$59.19
06/29/2023,$60.22,3702895,$59.88,$60.24,$59.61
06/28/2023,$60.15,3648660,$60.23,$60.26,$59.78
06/27/2023,$60.19,4823264,$60.07,$60.325,$59.73
06/26/2023,$59.95,3160839,$58.97,$59.975,$58.88
06/23/2023,$58.76,6096403,$59.13,$59.42,$58.75
06/22/2023,$59.47,3220854,$59.87,$60.04,$59.05
06/21/2023,$59.61,5495807,$60.26,$60.26,$59.45
06/20/2023,$60.33,5309420,$61.17,$61.24,$60.17
06/16/2023,$61.39,18479710,$61.23,$61.65,$61.11
06/15/2023,$61.23,4542534,$61.05,$61.34,$60.82
06/14/2023,$61.18,5399949,$61.38,$62.115,$60.9344
06/13/2023,$61.19,4279884,$61.09,$61.53,$60.98
06/12/2023,$60.97,4423198,$60.89,$61.125,$60.62
06/09/2023,$60.91,2607841,$60.62,$60.995,$60.53
06/08/2023,$60.86,2555438,$60.92,$61.00,$60.36
06/07/2023,$61.00,3542849,$60.19,$61.18,$59.97
06/06/2023,$60.01,3669293,$60.12,$60.25,$59.52
06/05/2023,$59.99,3849936,$59.79,$60.59,$59.68
06/02/2023,$59.70,4781866,$59.59,$60.095,$59.3292
06/01/2023,$59.24,4558840,$59.46,$59.69,$58.88
05/31/2023,$59.44,9241082,$58.87,$59.77,$58.775
05/30/2023,$58.92,4422714,$59.25,$59.52,$58.85
05/26/2023,$58.66,3448215,$58.55,$58.85,$58.22
05/25/2023,$58.44,3615031,$59.39,$59.39,$58.13
05/24/2023,$59.09,3159122,$59.90,$59.985,$59.06
05/23/2023,$60.10,2700011,$60.37,$60.795,$59.975
05/22/2023,$60.34,2844679,$60.13,$60.585,$59.905
05/19/2023,$59.97,3425227,$60.31,$60.74,$59.83
05/18/2023,$60.07,4197088,$60.42,$60.74,$59.88
05/17/2023,$60.65,3722310,$60.39,$60.74,$59.935
05/16/2023,$60.29,3313192,$61.80,$61.84,$60.28
05/15/2023,$61.94,2449650,$62.02,$62.23,$61.61
05/12/2023,$62.03,2349941,$61.95,$62.10,$61.585
05/11/2023,$61.80,2319506,$62.06,$62.18,$61.39
05/10/2023,$62.37,2665280,$62.73,$62.83,$61.91
05/09/2023,$62.22,2526862,$62.58,$62.6313,$61.965
05/08/2023,$62.76,2160380,$62.66,$62.945,$62.47
05/05/2023,$62.95,3226871,$62.30,$63.55,$62.265
05/04/2023,$61.92,3254871,$61.155,$62.18,$60.53
05/03/2023,$60.97,3099131,$61.53,$61.82,$60.86
05/02/2023,$61.39,2620217,$62.13,$62.20,$61.16
05/01/2023,$62.24,2194115,$62.60,$62.89,$62.1815
04/28/2023,$62.84,3464649,$62.19,$62.94,$62.19
04/27/2023,$62.29,3183390,$61.31,$62.635,$61.27
04/26/2023,$61.31,2789059,$61.99,$62.22,$61.15
04/25/2023,$62.04,3493588,$61.89,$62.28,$61.78
04/24/2023,$62.09,2647288,$62.38,$62.49,$61.625
04/21/2023,$62.33,4020755,$61.97,$62.62,$61.79
04/20/2023,$61.93,3030966,$61.44,$61.98,$61.29
04/19/2023,$61.64,2290731,$60.67,$61.65,$60.63
04/18/2023,$61.11,2196961,$61.41,$61.75,$60.87
04/17/2023,$61.56,2960536,$61.02,$61.57,$60.785
04/14/2023,$60.77,3728716,$61.67,$61.89,$60.485
04/13/2023,$61.53,5126008,$61.76,$61.76,$60.965
04/12/2023,$61.92,4749430,$62.99,$63.22,$61.87
04/11/2023,$62.10,7405716,$62.50,$62.50,$61.71
04/10/2023,$62.65,3083027,$62.25,$62.66,$61.71
04/06/2023,$62.57,3177606,$62.97,$62.98,$62.105
04/05/2023,$62.71,4001922,$62.96,$63.105,$62.47
04/04/2023,$62.84,2832393,$62.83,$62.99,$62.385
04/03/2023,$62.87,5758371,$62.95,$63.4027,$62.39
03/31/2023,$63.32,4142562,$62.52,$63.36,$62.465
03/30/2023,$62.61,3007965,$62.425,$62.86,$62.35
03/29/2023,$62.04,3023313,$61.61,$62.135,$61.55
03/28/2023,$61.06,2410345,$60.36,$61.07,$60.25
03/27/2023,$60.71,3778461,$61.38,$61.47,$60.62
03/24/2023,$61.04,3675672,$59.16,$61.09,$59.07
03/23/2023,$59.27,3559258,$59.90,$60.39,$59.09
03/22/2023,$59.40,4155196,$61.00,$61.31,$59.36
03/21/2023,$61.27,4396684,$62.28,$62.41,$61.015
03/20/2023,$61.97,3943459,$61.66,$62.29,$61.40
03/17/2023,$61.38,7068409,$62.39,$62.39,$61.35
03/16/2023,$62.43,4574086,$62.64,$62.90,$61.74
03/15/2023,$63.06,5503251,$62.84,$63.75,$62.11
03/14/2023,$63.22,5060962,$63.39,$64.03,$62.735
03/13/2023,$62.79,6428031,$61.38,$63.665,$61.35
03/10/2023,$61.38,5725391,$63.43,$63.489,$61.22
03/09/2023,$63.44,3414341,$64.54,$64.70,$63.40
03/08/2023,$64.54,2807335,$63.82,$64.59,$63.76
03/07/2023,$63.90,3548166,$64.41,$64.51,$63.66
03/06/2023,$64.30,3483837,$64.74,$64.89,$64.205
03/03/2023,$64.49,3574235,$64.39,$64.79,$64.15
03/02/2023,$64.09,3245278,$63.38,$64.25,$63.16
03/01/2023,$63.52,3625741,$63.84,$63.84,$62.77
02/28/2023,$63.95,5974984,$64.49,$64.80,$63.91
02/27/2023,$64.76,3981120,$65.65,$65.73,$64.46
02/24/2023,$64.98,3220381,$65.72,$65.85,$64.66
02/23/2023,$66.08,3560083,$66.05,$66.52,$65.68
02/22/2023,$65.52,3501910,$65.83,$67.05,$65.42
02/21/2023,$65.22,2603809,$65.75,$66.05,$65.0038
02/17/2023,$66.12,2891947,$66.30,$66.40,$65.64
02/16/2023,$66.31,2447458,$65.83,$66.635,$65.52
02/15/2023,$66.40,2426499,$65.72,$66.44,$65.52
02/14/2023,$65.71,3228264,$67.03,$67.13,$65.675
02/13/2023,$67.15,2237900,$67.00,$67.345,$66.97
02/10/2023,$66.85,2123482,$66.08,$67.00,$66.03
02/09/2023,$66.23,2395261,$67.43,$67.74,$66.175
02/08/2023,$67.22,2520994,$67.26,$67.70,$66.935
02/07/2023,$67.37,3609171,$67.29,$67.89,$66.81
02/06/2023,$67.73,2489149,$67.00,$67.81,$66.72
02/03/2023,$67.59,3637605,$67.33,$67.635,$66.38
02/02/2023,$67.86,3235288,$68.21,$68.85,$67.495
02/01/2023,$67.90,3303203,$67.62,$68.1299,$66.7673
01/31/2023,$67.83,5001309,$67.53,$68.145,$67.10
01/30/2023,$67.77,2652046,$68.07,$68.45,$67.71
01/27/2023,$68.30,3979836,$67.85,$68.68,$67.84
01/26/2023,$67.97,2294994,$67.68,$68.00,$67.13
01/25/2023,$67.31,4140079,$67.34,$67.34,$66.70
01/24/2023,$67.10,1904063,$66.87,$67.4479,$66.60
01/23/2023,$66.93,2676501,$66.39,$67.30,$66.12
01/20/2023,$66.38,3038536,$65.44,$66.44,$64.84
01/19/2023,$65.31,2709539,$65.86,$66.57,$65.28
01/18/2023,$66.04,2505402,$66.99,$67.10,$65.7118
01/17/2023,$66.89,3192769,$66.25,$67.245,$66.23
01/13/2023,$66.19,2148659,$66.16,$66.54,$65.81
01/12/2023,$66.55,3525797,$66.12,$66.835,$65.575
01/11/2023,$66.00,5024743,$64.66,$66.075,$64.10
01/10/2023,$64.14,3121638,$64.37,$64.51,$63.81
01/09/2023,$64.70,3885947,$64.02,$64.8645,$63.68
01/06/2023,$64.08,4261554,$63.75,$64.45,$63.68
01/05/2023,$63.39,3783189,$64.26,$64.28,$63.115
01/04/2023,$64.61,3887177,$64.00,$65.22,$63.85
01/03/2023,$63.80,4483588,$63.86,$64.03,$62.845
12/30/2022,$63.43,2374051,$63.61,$63.7752,$62.74
12/29/2022,$64.03,2462889,$63.50,$64.20,$63.43
12/28/2022,$63.23,3155193,$64.03,$64.45,$63.145
12/27/2022,$64.11,4074050,$64.41,$64.415,$63.6304
12/23/2022,$64.41,1848254,$63.32,$64.41,$63.24
12/22/2022,$63.45,3204647,$63.96,$64.20,$62.52
12/21/2022,$64.24,3845657,$63.98,$64.80,$63.93
12/20/2022,$63.11,4438420,$63.31,$63.61,$62.59
12/19/2022,$63.54,3610929,$63.48,$64.09,$63.00
12/16/2022,$63.48,10962300,$63.76,$64.13,$62.39
12/15/2022,$64.64,4544067,$64.24,$65.02,$64.07
12/14/2022,$64.66,4750164,$65.06,$65.64,$64.4016
12/13/2022,$64.96,4250196,$66.00,$66.44,$64.40
12/12/2022,$64.67,4944054,$64.56,$64.91,$64.10
12/09/2022,$64.45,4418037,$64.13,$64.90,$64.00
12/08/2022,$64.06,3862707,$63.60,$64.42,$63.59
12/07/2022,$63.57,5196394,$62.71,$63.82,$62.71
12/06/2022,$62.71,5584560,$62.35,$62.935,$62.27
12/05/2022,$62.24,5078742,$62.31,$62.90,$61.75
12/02/2022,$62.90,3357520,$62.33,$63.23,$62.13
12/01/2022,$62.81,3923026,$63.41,$63.92,$62.58
11/30/2022,$63.07,7034610,$61.51,$63.16,$61.10
11/29/2022,$62.30,5291933,$61.91,$62.55,$61.44
11/28/2022,$61.74,7740224,$64.56,$64.685,$61.52
11/25/2022,$64.85,1691198,$64.81,$64.96,$64.53
11/23/2022,$64.52,3283340,$65.13,$65.3925,$64.195
