Date,Close/Last,Volume,Open,High,Low
09/06/2024,$238.51,1312844,$234.15,$238.82,$233.535
09/05/2024,$233.37,960321,$235.27,$236.99,$232.51
09/04/2024,$233.22,737094,$231.76,$235.41,$230.22
09/03/2024,$230.81,709224,$225.83,$233.65,$225.83
08/30/2024,$226.66,1081888,$226.96,$229.005,$224.69
08/29/2024,$226.54,793158,$227.09,$227.625,$223.045
08/28/2024,$227.67,592724,$228.82,$229.345,$226.51
08/27/2024,$228.51,408363,$225.56,$228.89,$225.54
08/26/2024,$227.54,509569,$228.06,$229.90,$226.72
08/23/2024,$227.28,991835,$219.03,$228.03,$219.03
08/22/2024,$218.37,510515,$218.16,$219.54,$217.51
08/21/2024,$219.30,372487,$219.58,$219.58,$217.41
08/20/2024,$219.49,310503,$218.43,$219.76,$217.96
08/19/2024,$218.31,333361,$217.93,$219.34,$217.40
08/16/2024,$218.17,656390,$216.40,$218.515,$215.86
08/15/2024,$214.77,977363,$216.60,$216.785,$213.905
08/14/2024,$217.87,465180,$217.56,$219.57,$216.41
08/13/2024,$218.56,470739,$217.39,$219.36,$216.34
08/12/2024,$216.18,811824,$213.86,$216.37,$212.58
08/09/2024,$212.91,735452,$216.99,$216.99,$212.83
08/08/2024,$216.89,454181,$213.62,$217.37,$212.75
08/07/2024,$214.98,1018269,$219.46,$220.87,$214.63
08/06/2024,$220.32,1049846,$219.24,$222.92,$218.51
08/05/2024,$221.11,1930135,$229.11,$230.35,$220.2482
08/02/2024,$229.73,1866518,$232.16,$237.24,$228.275
08/01/2024,$227.16,1170793,$219.56,$227.36,$219.34
07/31/2024,$219.54,1191515,$219.45,$222.84,$217.88
07/30/2024,$217.94,1939867,$211.64,$220.98,$211.64
07/29/2024,$217.82,1996126,$214.85,$218.15,$213.00
07/26/2024,$214.71,911889,$214.47,$215.69,$211.265
07/25/2024,$211.07,1341450,$207.02,$212.545,$206.81
07/24/2024,$205.45,678085,$208.65,$209.32,$204.57
07/23/2024,$207.33,533674,$208.64,$209.97,$206.901
07/22/2024,$208.82,477762,$209.89,$211.02,$207.64
07/19/2024,$209.00,768504,$211.64,$212.07,$208.15
07/18/2024,$211.25,802743,$210.46,$215.16,$210.10
07/17/2024,$214.22,651714,$212.91,$214.79,$211.18
07/16/2024,$213.06,776760,$212.70,$213.53,$209.90
07/15/2024,$210.26,888746,$210.01,$212.08,$208.0374
07/12/2024,$212.83,1345152,$210.85,$215.47,$210.30
07/11/2024,$209.86,1495808,$199.75,$209.90,$199.26
07/10/2024,$195.19,572432,$197.20,$197.21,$191.79
07/09/2024,$195.53,714117,$193.00,$196.22,$192.10
07/08/2024,$193.96,655049,$191.59,$194.65,$190.91
07/05/2024,$190.83,666493,$192.31,$192.32,$189.07
07/03/2024,$192.18,474519,$189.96,$193.48,$189.215
07/02/2024,$189.00,1232349,$191.29,$191.29,$187.06
07/01/2024,$189.78,956911,$194.83,$195.81,$189.47
06/28/2024,$196.30,1463509,$197.61,$198.79,$195.06
06/27/2024,$196.95,879812,$193.20,$196.95,$192.25
06/26/2024,$193.57,746700,$191.29,$193.80,$190.4588
06/25/2024,$192.67,553531,$196.32,$196.41,$191.46
